sample_id,split,label,crack_pixels,pothole_pixels,lane_pixels,image_path
918995_RS_290_290RS294095_28425,train,Crack,3038,0,354642,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/918995_RS_290_290RS294095_28425/918995_RS_290_290RS294095_28425_RAW.jpg
1091982_DF_251_251BDF0490_01287,train,Normal,1192,0,351994,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1091982_DF_251_251BDF0490_01287/1091982_DF_251_251BDF0490_01287_RAW.jpg
1091866_DF_251_251BDF0490_01069,train,Normal,178,0,354540,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1091866_DF_251_251BDF0490_01069/1091866_DF_251_251BDF0490_01069_RAW.jpg
1092805_DF_251_251BDF0052_00600,val,Crack,13308,0,343349,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092805_DF_251_251BDF0052_00600/1092805_DF_251_251BDF0052_00600_RAW.jpg
1025779_RS_386_386RS169832_08635,train,Crack,3316,0,390032,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1025779_RS_386_386RS169832_08635/1025779_RS_386_386RS169832_08635_RAW.jpg
1091694_DF_251_251BDF0490_00742,val,Crack,4734,0,354521,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1091694_DF_251_251BDF0490_00742/1091694_DF_251_251BDF0490_00742_RAW.jpg
1081661_DF_080_080BDF0070_00610,train,Crack,20441,0,320770,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1081661_DF_080_080BDF0070_00610/1081661_DF_080_080BDF0070_00610_RAW.jpg
1014722_RS_386_386RS124739_30536,train,Pothole,0,10544,371884,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014722_RS_386_386RS124739_30536/1014722_RS_386_386RS124739_30536_RAW.jpg
941557_RS_290_290RS070691_00690,train,Pothole,0,23908,357074,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/941557_RS_290_290RS070691_00690/941557_RS_290_290RS070691_00690_RAW.jpg
919716_RS_290_290RS294095_32030,train,Crack,6562,0,371442,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/919716_RS_290_290RS294095_32030/919716_RS_290_290RS294095_32030_RAW.jpg
1076757_DF_251_251BDF0530_04111,train,Crack,3291,0,340342,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1076757_DF_251_251BDF0530_04111/1076757_DF_251_251BDF0530_04111_RAW.jpg
1093005_DF_251_251BDF0052_00953,train,Crack,6341,0,353134,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1093005_DF_251_251BDF0052_00953/1093005_DF_251_251BDF0052_00953_RAW.jpg
1092848_DF_251_251BDF0052_00676,train,Crack,10803,0,368949,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092848_DF_251_251BDF0052_00676/1092848_DF_251_251BDF0052_00676_RAW.jpg
1014797_RS_386_386RS124739_30910,val,Pothole,0,259,383569,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014797_RS_386_386RS124739_30910/1014797_RS_386_386RS124739_30910_RAW.jpg
1014611_RS_386_386RS124739_29980,val,Crack,2048,0,380309,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014611_RS_386_386RS124739_29980/1014611_RS_386_386RS124739_29980_RAW.jpg
1052123_DF_020_020BDF0070_02442,train,Normal,1428,0,366258,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1052123_DF_020_020BDF0070_02442/1052123_DF_020_020BDF0070_02442_RAW.jpg
1014798_RS_386_386RS124739_30915,train,Pothole,1944,429,378102,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014798_RS_386_386RS124739_30915/1014798_RS_386_386RS124739_30915_RAW.jpg
917821_RS_290_290RS294095_22555,val,Crack,4875,0,381170,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/917821_RS_290_290RS294095_22555/917821_RS_290_290RS294095_22555_RAW.jpg
916874_RS_290_290RS294095_17821,train,Pothole,1148,6544,366732,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/916874_RS_290_290RS294095_17821/916874_RS_290_290RS294095_17821_RAW.jpg
1082224_DF_080_080BDF0070_01737,train,Crack,37048,0,384005,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1082224_DF_080_080BDF0070_01737/1082224_DF_080_080BDF0070_01737_RAW.jpg
1081591_DF_080_080BDF0070_00482,train,Pothole,3420,4135,336537,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1081591_DF_080_080BDF0070_00482/1081591_DF_080_080BDF0070_00482_RAW.jpg
1014908_RS_386_386RS124739_31465,train,Crack,8785,0,378501,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014908_RS_386_386RS124739_31465/1014908_RS_386_386RS124739_31465_RAW.jpg
917564_RS_290_290RS294095_21270,val,Normal,1341,0,345229,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/917564_RS_290_290RS294095_21270/917564_RS_290_290RS294095_21270_RAW.jpg
1050564_DF_080_080BDF0050_1_00368,train,Pothole,2551,9262,385959,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1050564_DF_080_080BDF0050_1_00368/1050564_DF_080_080BDF0050_1_00368_RAW.jpg
1092900_DF_251_251BDF0052_00768,train,Crack,18852,0,363493,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092900_DF_251_251BDF0052_00768/1092900_DF_251_251BDF0052_00768_RAW.jpg
1092551_DF_251_251BDF0052_00162,train,Crack,5762,0,360209,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092551_DF_251_251BDF0052_00162/1092551_DF_251_251BDF0052_00162_RAW.jpg
1092061_DF_251_251BDF0490_01433,val,Crack,3910,0,371202,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092061_DF_251_251BDF0490_01433/1092061_DF_251_251BDF0490_01433_RAW.jpg
917471_RS_290_290RS294095_20805,train,Crack,5322,0,351050,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/917471_RS_290_290RS294095_20805/917471_RS_290_290RS294095_20805_RAW.jpg
917455_RS_290_290RS294095_20725,train,Normal,1253,0,346429,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/917455_RS_290_290RS294095_20725/917455_RS_290_290RS294095_20725_RAW.jpg
919776_RS_290_290RS294095_32330,train,Crack,12910,0,372867,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/919776_RS_290_290RS294095_32330/919776_RS_290_290RS294095_32330_RAW.jpg
1093102_DF_251_251BDF0052_01123,train,Crack,13791,0,343603,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1093102_DF_251_251BDF0052_01123/1093102_DF_251_251BDF0052_01123_RAW.jpg
1025907_RS_386_386RS169832_09276,train,Crack,2629,0,393483,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1025907_RS_386_386RS169832_09276/1025907_RS_386_386RS169832_09276_RAW.jpg
941594_RS_290_290RS070691_00875,train,Pothole,0,63136,373778,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/941594_RS_290_290RS070691_00875/941594_RS_290_290RS070691_00875_RAW.jpg
1092824_DF_251_251BDF0052_00634,train,Crack,7134,0,338412,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092824_DF_251_251BDF0052_00634/1092824_DF_251_251BDF0052_00634_RAW.jpg
1092317_DF_251_251BDF0490_01901,train,Pothole,4819,441,357042,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092317_DF_251_251BDF0490_01901/1092317_DF_251_251BDF0490_01901_RAW.jpg
883067_RS_290_290RS150131_16065,val,Pothole,0,36519,366123,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/883067_RS_290_290RS150131_16065/883067_RS_290_290RS150131_16065_RAW.jpg
1014866_RS_386_386RS124739_31255,train,Crack,16257,0,388944,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014866_RS_386_386RS124739_31255/1014866_RS_386_386RS124739_31255_RAW.jpg
1076438_DF_251_251BDF0530_03513,train,Crack,7022,0,343367,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1076438_DF_251_251BDF0530_03513/1076438_DF_251_251BDF0530_03513_RAW.jpg
1092807_DF_251_251BDF0052_00604,train,Crack,14202,0,348246,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092807_DF_251_251BDF0052_00604/1092807_DF_251_251BDF0052_00604_RAW.jpg
1092946_DF_251_251BDF0052_00848,train,Normal,1447,0,350729,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092946_DF_251_251BDF0052_00848/1092946_DF_251_251BDF0052_00848_RAW.jpg
1083771_DF_080_080BDF0090_00328,train,Crack,5158,0,350211,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1083771_DF_080_080BDF0090_00328/1083771_DF_080_080BDF0090_00328_RAW.jpg
1096019_DF_070_070BDF0010_01956,train,Pothole,8161,13130,391216,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1096019_DF_070_070BDF0010_01956/1096019_DF_070_070BDF0010_01956_RAW.jpg
1054927_DF_020_020BDF0070_08001,train,Normal,1183,0,389689,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1054927_DF_020_020BDF0070_08001/1054927_DF_020_020BDF0070_08001_RAW.jpg
919264_RS_290_290RS294095_29770,train,Pothole,4778,2477,341816,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/919264_RS_290_290RS294095_29770/919264_RS_290_290RS294095_29770_RAW.jpg
1092903_DF_251_251BDF0052_00773,train,Crack,11574,0,358074,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092903_DF_251_251BDF0052_00773/1092903_DF_251_251BDF0052_00773_RAW.jpg
883081_RS_290_290RS150131_16135,train,Pothole,0,114298,345663,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/883081_RS_290_290RS150131_16135/883081_RS_290_290RS150131_16135_RAW.jpg
1025813_RS_386_386RS169832_08805,train,Normal,1473,0,392720,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1025813_RS_386_386RS169832_08805/1025813_RS_386_386RS169832_08805_RAW.jpg
1092841_DF_251_251BDF0052_00663,train,Crack,13884,0,366250,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092841_DF_251_251BDF0052_00663/1092841_DF_251_251BDF0052_00663_RAW.jpg
1014875_RS_386_386RS124739_31300,train,Crack,6539,0,378236,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1014875_RS_386_386RS124739_31300/1014875_RS_386_386RS124739_31300_RAW.jpg
917448_RS_290_290RS294095_20691,train,Crack,10653,0,348979,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/917448_RS_290_290RS294095_20691/917448_RS_290_290RS294095_20691_RAW.jpg
1053836_DF_020_020BDF0070_05986,train,Pothole,0,427,379462,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1053836_DF_020_020BDF0070_05986/1053836_DF_020_020BDF0070_05986_RAW.jpg
1092079_DF_251_251BDF0490_01465,train,Crack,12916,0,366906,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092079_DF_251_251BDF0490_01465/1092079_DF_251_251BDF0490_01465_RAW.jpg
1092081_DF_251_251BDF0490_01468,train,Normal,1039,0,360213,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092081_DF_251_251BDF0490_01468/1092081_DF_251_251BDF0490_01468_RAW.jpg
918959_RS_290_290RS294095_28245,train,Crack,1908,0,368372,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/918959_RS_290_290RS294095_28245/918959_RS_290_290RS294095_28245_RAW.jpg
1055550_DF_020_020BDF0070_09162,train,Crack,2659,0,369109,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1055550_DF_020_020BDF0070_09162/1055550_DF_020_020BDF0070_09162_RAW.jpg
1092814_DF_251_251BDF0052_00616,train,Crack,8824,0,347342,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092814_DF_251_251BDF0052_00616/1092814_DF_251_251BDF0052_00616_RAW.jpg
1092869_DF_251_251BDF0052_00713,train,Crack,6596,0,358024,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092869_DF_251_251BDF0052_00713/1092869_DF_251_251BDF0052_00713_RAW.jpg
941883_RS_290_290RS070691_02320,train,Pothole,0,4644,352565,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/941883_RS_290_290RS070691_02320/941883_RS_290_290RS070691_02320_RAW.jpg
765543_ES_259_259ES000000_01815,train,Crack,3733,0,395938,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/765543_ES_259_259ES000000_01815/765543_ES_259_259ES000000_01815_RAW.jpg
1093098_DF_251_251BDF0052_01116,train,Crack,41671,0,359687,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1093098_DF_251_251BDF0052_01116/1093098_DF_251_251BDF0052_01116_RAW.jpg
1092798_DF_251_251BDF0052_00588,train,Crack,7455,0,337080,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092798_DF_251_251BDF0052_00588/1092798_DF_251_251BDF0052_00588_RAW.jpg
1092070_DF_251_251BDF0490_01449,train,Crack,3932,0,364541,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1092070_DF_251_251BDF0490_01449/1092070_DF_251_251BDF0490_01449_RAW.jpg
916117_RS_290_290RS294095_14035,train,Crack,3150,0,348807,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/916117_RS_290_290RS294095_14035/916117_RS_290_290RS294095_14035_RAW.jpg
919138_RS_290_290RS294095_29140,train,Crack,1563,0,365684,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/919138_RS_290_290RS294095_29140/919138_RS_290_290RS294095_29140_RAW.jpg
917191_RS_290_290RS294095_19405,train,Crack,2559,0,362426,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/917191_RS_290_290RS294095_19405/917191_RS_290_290RS294095_19405_RAW.jpg
1081804_DF_080_080BDF0070_00875,train,Crack,7475,0,299666,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1081804_DF_080_080BDF0070_00875/1081804_DF_080_080BDF0070_00875_RAW.jpg
1077210_DF_251_251BDF0530_04958,train,Crack,2246,0,327103,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1077210_DF_251_251BDF0530_04958/1077210_DF_251_251BDF0530_04958_RAW.jpg
917119_RS_290_290RS294095_19045,train,Crack,1618,0,358242,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/917119_RS_290_290RS294095_19045/917119_RS_290_290RS294095_19045_RAW.jpg
1025816_RS_386_386RS169832_08821,train,Pothole,0,472,401355,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1025816_RS_386_386RS169832_08821/1025816_RS_386_386RS169832_08821_RAW.jpg
1095878_DF_070_070BDF0010_01692,train,Crack,10798,0,387103,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1095878_DF_070_070BDF0010_01692/1095878_DF_070_070BDF0010_01692_RAW.jpg
917258_RS_290_290RS294095_19740,val,Crack,7850,0,364488,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/917258_RS_290_290RS294095_19740/917258_RS_290_290RS294095_19740_RAW.jpg
919242_RS_290_290RS294095_29660,train,Crack,8291,0,347841,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/919242_RS_290_290RS294095_29660/919242_RS_290_290RS294095_29660_RAW.jpg
1093341_DF_251_251BDF0052_01602,train,Crack,7193,0,342079,d:/current project/SIH PPts/roadsense_webapp/roadsense_webapp/Cracks-and-Potholes-in-Road-Images-Dataset-master/Cracks-and-Potholes-in-Road-Images-Dataset-master/Dataset/1093341_DF_251_251BDF0052_01602/1093341_DF_251_251BDF0052_01602_RAW.jpg
